time,station,rfb_i,tl_i,substation
2024-03-13T00:00+00:00,1,,3.0,10200
2024-03-14T00:00+00:00,1,,3.4,10200
2024-03-15T00:00+00:00,1,,1.6,10200
2024-03-16T00:00+00:00,1,,6.0,10200
2024-03-17T00:00+00:00,1,,5.1,10200
2024-03-18T00:00+00:00,1,,5.3,10200
2024-03-19T00:00+00:00,1,,4.2,10200
2024-03-20T00:00+00:00,1,,-0.9,10200
2024-03-21T00:00+00:00,1,,0.2,10200
2024-03-22T00:00+00:00,1,,5.2,10200
2024-03-23T00:00+00:00,1,,4.4,10200
2024-03-24T00:00+00:00,1,,2.6,10200
2024-03-25T00:00+00:00,1,,1.4,10200
2024-03-26T00:00+00:00,1,,-1.2,10200
2024-03-27T00:00+00:00,1,,7.6,10200
2024-03-28T00:00+00:00,1,,2.9,10200
2024-03-29T00:00+00:00,1,,1.5,10200
2024-03-30T00:00+00:00,1,,6.4,10200
2024-03-31T00:00+00:00,1,,11.4,10200
2024-04-01T00:00+00:00,1,,15.0,10200
2024-04-02T00:00+00:00,1,,6.7,10200
2024-04-03T00:00+00:00,1,,1.4,10200
2024-04-04T00:00+00:00,1,,6.1,10200
2024-04-05T00:00+00:00,1,,7.3,10200
2024-04-06T00:00+00:00,1,,8.9,10200
2024-04-07T00:00+00:00,1,,8.4,10200
2024-04-08T00:00+00:00,1,,9.8,10200
2024-04-09T00:00+00:00,1,,9.0,10200
2024-04-10T00:00+00:00,1,,7.5,10200
2024-04-11T00:00+00:00,1,,4.1,10200
2024-04-12T00:00+00:00,1,,7.9,10200
2024-04-13T00:00+00:00,1,,9.2,10200
2024-04-14T00:00+00:00,1,,9.6,10200
2024-04-15T00:00+00:00,1,,11.3,10200
2024-04-16T00:00+00:00,1,,3.3,10200
2024-04-17T00:00+00:00,1,,1.7,10200
